kind	id	name	requirements	uses	sources
varbit	260	MDAUGHTER_QUEST_VAR	>0;>19	2	agility_shortcuts.tsv:82 260>0 | transports.tsv:4092 260>19
varbit	299	DWARFROCK_QUEST	=10	1	teleportation_items.tsv:87 299=10
varbit	346	GOLEM_A	=10	2	magic_carpets.tsv:3 346=10 | magic_carpets.tsv:4 346=10
varbit	418	ICS_LITTLE_VAR	<26;=26	6	magic_carpets.tsv:11 418<26 | magic_carpets.tsv:12 418=26 | magic_carpets.tsv:14 418=26 | magic_carpets.tsv:15 418=26 | magic_carpets.tsv:16 418=26 | magic_carpets.tsv:17 418=26
varbit	451	TOG_JUNA_BOWL	>1	1	teleportation_items.tsv:47 451>1
varbit	487	ZOGRE	>10	2	transports.tsv:4937 487>10 | transports.tsv:4939 487>10
varbit	496	THZFE_BLOCKING_BARRICADE	=1	4	transports.tsv:4933 496=1 | transports.tsv:4934 496=1 | transports.tsv:4935 496=1 | transports.tsv:4936 496=1
varbit	532	LOST_TRIBE_QUEST	>3	2	agility_shortcuts.tsv:87 532>3 | agility_shortcuts.tsv:88 532>3
varbit	538	LOST_TRIBE_HOLE_2_DUG	=1	2	transports.tsv:131 538=1 | transports.tsv:132 538=1
varbit	621	EDGEVILLE_SPAWN	=1	1	teleportation_portals_poh.tsv:104 621=1
varbit	668	FALADOR_SPAWN	=1	1	teleportation_portals_poh.tsv:102 668=1
varbit	2098	SWANSONG	<200;=200	2	boats.tsv:167 2098<200 | boats.tsv:168 2098=200
varbit	2187	POH_HOUSE_LOCATION	=1;=2;=3;=4;=5;=6;=7;=8;=9	72	teleportation_items.tsv:123 2187=1 | teleportation_items.tsv:124 2187=1 | teleportation_items.tsv:126 2187=2 | teleportation_items.tsv:127 2187=2 | teleportation_items.tsv:129 2187=3 | teleportation_items.tsv:130 2187=3 | teleportation_items.tsv:132 2187=4 | teleportation_items.tsv:133 2187=4 | teleportation_items.tsv:135 2187=5 | teleportation_items.tsv:136 2187=5 | teleportation_items.tsv:138 2187=6 | teleportation_items.tsv:139 2187=6 | teleportation_items.tsv:141 2187=7 | teleportation_items.tsv:142 2187=7 | teleportation_items.tsv:144 2187=8 | teleportation_items.tsv:145 2187=8 | teleportation_items.tsv:147 2187=9 | teleportation_items.tsv:148 2187=9 | teleportation_items.tsv:237 2187=1 | teleportation_items.tsv:239 2187=2 | teleportation_items.tsv:241 2187=3 | teleportation_items.tsv:243 2187=4 | teleportation_items.tsv:245 2187=5 | teleportation_items.tsv:247 2187=6 | teleportation_items.tsv:249 2187=7 | teleportation_items.tsv:251 2187=8 | teleportation_items.tsv:253 2187=9 | teleportation_items.tsv:273 2187=1 | teleportation_items.tsv:275 2187=2 | teleportation_items.tsv:277 2187=3 | teleportation_items.tsv:279 2187=4 | teleportation_items.tsv:281 2187=5 | teleportation_items.tsv:283 2187=6 | teleportation_items.tsv:285 2187=7 | teleportation_items.tsv:287 2187=8 | teleportation_items.tsv:289 2187=9 | teleportation_portals.tsv:127 2187=1 | teleportation_portals.tsv:128 2187=1 | teleportation_portals.tsv:130 2187=2 | teleportation_portals.tsv:131 2187=2 | teleportation_portals.tsv:133 2187=3 | teleportation_portals.tsv:134 2187=3 | teleportation_portals.tsv:136 2187=4 | teleportation_portals.tsv:137 2187=4 | teleportation_portals.tsv:139 2187=5 | teleportation_portals.tsv:140 2187=5 | teleportation_portals.tsv:142 2187=6 | teleportation_portals.tsv:143 2187=6 | teleportation_portals.tsv:145 2187=7 | teleportation_portals.tsv:146 2187=7 | teleportation_portals.tsv:148 2187=8 | teleportation_portals.tsv:149 2187=8 | teleportation_portals.tsv:151 2187=9 | teleportation_portals.tsv:152 2187=9 | teleportation_spells.tsv:20 2187=1 | teleportation_spells.tsv:21 2187=1 | teleportation_spells.tsv:23 2187=2 | teleportation_spells.tsv:24 2187=2 | teleportation_spells.tsv:26 2187=3 | teleportation_spells.tsv:27 2187=3 | teleportation_spells.tsv:29 2187=4 | teleportation_spells.tsv:30 2187=4 | teleportation_spells.tsv:32 2187=5 | teleportation_spells.tsv:33 2187=5 | teleportation_spells.tsv:35 2187=6 | teleportation_spells.tsv:36 2187=6 | teleportation_spells.tsv:38 2187=7 | teleportation_spells.tsv:39 2187=7 | teleportation_spells.tsv:41 2187=8 | teleportation_spells.tsv:42 2187=8 | teleportation_spells.tsv:44 2187=9 | teleportation_spells.tsv:45 2187=9
varbit	2573	MYQ3_MAIN_QUEST	=320	6	transports.tsv:1953 2573=320 | transports.tsv:1954 2573=320 | transports.tsv:1955 2573=320 | transports.tsv:1956 2573=320 | transports.tsv:1957 2573=320 | transports.tsv:1958 2573=320
varbit	2867	ZEP_MULTI_BASKET	=2	7	hot_air_balloons.tsv:3 2867=2 | hot_air_balloons.tsv:4 2867=2 | hot_air_balloons.tsv:5 2867=2 | hot_air_balloons.tsv:6 2867=2 | hot_air_balloons.tsv:7 2867=2 | hot_air_balloons.tsv:8 2867=2 | hot_air_balloons.tsv:60 2867=2
varbit	2868	ZEP_MULTI_PICCARD	=2	9	hot_air_balloons.tsv:11 2868=2 | hot_air_balloons.tsv:12 2868=2 | hot_air_balloons.tsv:13 2868=2 | hot_air_balloons.tsv:14 2868=2 | hot_air_balloons.tsv:15 2868=2 | hot_air_balloons.tsv:16 2868=2 | hot_air_balloons.tsv:17 2868=2 | hot_air_balloons.tsv:18 2868=2 | hot_air_balloons.tsv:63 2868=2
varbit	2869	ZEP_MULTI_CAST	=1	8	hot_air_balloons.tsv:41 2869=1 | hot_air_balloons.tsv:42 2869=1 | hot_air_balloons.tsv:43 2869=1 | hot_air_balloons.tsv:44 2869=1 | hot_air_balloons.tsv:45 2869=1 | hot_air_balloons.tsv:46 2869=1 | hot_air_balloons.tsv:47 2869=1 | hot_air_balloons.tsv:72 2869=1
